iter	Passed	Remaining
0	6	1301
1	14	1386
2	21	1415
3	29	1437
4	37	1448
5	44	1439
6	51	1433
7	59	1428
8	67	1424
9	74	1421
10	82	1420
11	89	1408
12	97	1398
13	104	1389
14	111	1376
15	119	1370
16	127	1367
17	134	1360
18	141	1343
19	147	1327
20	154	1314
21	160	1299
22	167	1287
23	173	1273
24	180	1261
25	186	1249
26	193	1237
27	199	1227
28	206	1217
29	212	1206
30	219	1195
31	225	1184
32	232	1175
33	238	1166
34	245	1155
35	251	1146
36	258	1136
37	279	1193
38	287	1187
39	295	1181
40	302	1175
41	309	1165
42	316	1155
43	322	1144
44	330	1137
45	336	1127
46	343	1117
47	350	1108
48	356	1098
49	363	1089
50	369	1079
51	376	1070
52	382	1061
53	389	1051
54	395	1042
55	401	1033
56	408	1024
57	414	1015
58	421	1006
59	427	997
60	433	988
61	440	980
62	447	972
63	453	963
64	460	955
65	466	947
66	473	939
67	479	931
68	486	923
69	493	915
70	499	907
71	506	899
72	512	891
73	519	883
74	525	876
75	532	868
76	538	860
77	545	852
78	551	844
79	557	836
80	564	829
81	571	821
82	577	814
83	583	806
84	590	798
85	596	791
86	603	783
87	609	775
88	615	768
89	622	760
90	628	753
91	635	745
92	641	738
93	648	731
94	655	724
95	662	717
96	669	710
97	675	703
98	681	695
99	688	688
100	694	681
101	701	673
102	707	666
103	713	659
104	721	652
105	728	645
106	734	638
107	741	631
108	747	624
109	754	617
110	760	610
111	767	602
112	773	595
113	780	588
114	786	581
115	792	574
116	799	567
117	806	560
118	812	552
119	818	545
120	825	538
121	831	531
122	838	524
123	844	517
124	851	510
125	857	503
126	864	496
127	870	489
128	876	482
129	883	475
130	890	468
131	896	461
132	902	454
133	909	447
134	915	440
135	922	434
136	928	427
137	935	420
138	941	413
139	948	406
140	954	399
141	961	392
142	967	385
143	973	378
144	980	371
145	986	365
146	993	358
147	1000	351
148	1007	344
149	1013	337
150	1020	331
151	1026	324
152	1032	317
153	1039	310
154	1046	303
155	1052	296
156	1058	290
157	1065	283
158	1072	276
159	1078	269
160	1085	262
161	1091	256
162	1098	249
163	1104	242
164	1111	235
165	1118	229
166	1124	222
167	1131	215
168	1137	208
169	1144	201
170	1150	195
171	1156	188
172	1163	181
173	1169	174
174	1176	168
175	1182	161
176	1189	154
177	1195	147
178	1201	141
179	1208	134
180	1214	127
181	1221	120
182	1228	114
183	1234	107
184	1240	100
185	1247	93
186	1253	87
187	1260	80
188	1266	73
189	1273	67
190	1279	60
191	1286	53
192	1292	46
193	1298	40
194	1305	33
195	1311	26
196	1318	20
197	1325	13
198	1331	6
199	1338	0
